24	1	1	4548447	CL
24	1	4548447	4571496	CC
24	1	4571496	4587801	CL
24	1	4587801	4871872	CC
24	1	4871872	9787870	CL
24	1	9787870	9794982	LL
24	1	9794982	9813073	CL
24	1	9813073	9820231	LL
24	1	9820231	9834339	CL
24	1	9834339	30427671	LL
24	2	1	514148	CL
24	2	514148	514173	CC
24	2	514173	524465	CL
24	2	524465	692354	CC
24	2	692354	2930478	CL
24	2	2930478	3167497	CC
24	2	3167497	3519701	CL
24	2	3519701	3527789	CC
24	2	3527789	3530713	CL
24	2	3530713	3576914	CC
24	2	3576914	3794266	CL
24	2	3794266	3896922	CC
24	2	3896922	6560018	CL
24	2	6560018	6617269	LL
24	2	6617269	9261029	CL
24	2	9261029	9306381	LL
24	2	9306381	9328860	CL
24	2	9328860	9334009	LL
24	2	9334009	9721752	CL
24	2	9721752	11404601	CC
24	2	11404601	12285464	CL
24	2	12285464	12356941	CC
24	2	12356941	14649714	CL
24	2	14649714	14804665	CC
24	2	14804665	14813939	CL
24	2	14813939	14814987	CC
24	2	14814987	14847009	CL
24	2	14847009	14853706	CC
24	2	14853706	15015806	CL
24	2	15015806	15025905	CC
24	2	15025905	15046756	CL
24	2	15046756	19698289	CC
24	3	1	9934742	LL
24	3	9934742	16314231	CL
24	3	16314231	16348566	LL
24	3	16348566	16376254	CL
24	3	16376254	16379671	LL
24	3	16379671	16387498	CL
24	3	16387498	16387814	LL
24	3	16387814	16391953	CL
24	3	16391953	16399499	LL
24	3	16399499	16684058	CL
24	3	16684058	16684589	CC
24	3	16684589	17380161	CL
24	3	17380161	17384736	CC
24	3	17384736	17944598	CL
24	3	17944598	17962886	LL
24	3	17962886	22392934	CL
24	3	22392934	23459830	LL
24	4	1	6764532	LL
24	4	6764532	7197979	CL
24	4	7197979	7206683	LL
24	4	7206683	7294918	CL
24	4	7294918	7306719	LL
24	4	7306719	7316737	CL
24	4	7316737	7345902	LL
24	4	7345902	7727232	CL
24	4	7727232	7730163	CC
24	4	7730163	7809422	CL
24	4	7809422	7851626	CC
24	4	7851626	8734567	CL
24	4	8734567	8735103	CC
24	4	8735103	8757904	CL
24	4	8757904	8993795	CC
24	4	8993795	9676008	CL
24	4	9676008	9703339	CC
24	4	9703339	9704564	CL
24	4	9704564	9738969	CC
24	4	9738969	9743431	CL
24	4	9743431	9753622	CC
24	4	9753622	9776637	CL
24	4	9776637	9845308	CC
24	4	9845308	9855264	CL
24	4	9855264	9857617	CC
24	4	9857617	10429535	CL
24	4	10429535	10445630	CC
24	4	10445630	10572450	CL
24	4	10572450	10590684	CC
24	4	10590684	11240145	CL
24	4	11240145	11245108	CC
24	4	11245108	11259579	CL
24	4	11259579	11520571	CC
24	4	11520571	13998675	CL
24	4	13998675	13998694	LL
24	4	13998694	16401819	CL
24	4	16401819	16477736	CC
24	4	16477736	16529617	CL
24	4	16529617	16552515	CC
24	4	16552515	16555472	CL
24	4	16555472	16560414	CC
24	4	16560414	16998573	CL
24	4	16998573	17040195	LL
24	4	17040195	17419190	CL
24	4	17419190	18585056	CC
24	5	1	15508338	CC
24	5	15508338	15519920	CL
24	5	15519920	15526046	CC
24	5	15526046	15539151	CL
24	5	15539151	15556239	CC
24	5	15556239	16861594	CL
24	5	16861594	16864395	CC
24	5	16864395	17131837	CL
24	5	17131837	17198405	LL
24	5	17198405	17548090	CL
24	5	17548090	17568802	CC
24	5	17568802	17711194	CL
24	5	17711194	17713282	CC
24	5	17713282	18250575	CL
24	5	18250575	18293021	CC
24	5	18293021	18294958	CL
24	5	18294958	18326360	CC
24	5	18326360	18336653	CL
24	5	18336653	18375566	CC
24	5	18375566	18620083	CL
24	5	18620083	18629391	CC
24	5	18629391	18908962	CL
24	5	18908962	18922044	CC
24	5	18922044	18931257	CL
24	5	18931257	19208402	CC
24	5	19208402	19647515	CL
24	5	19647515	19658476	CC
24	5	19658476	21401217	CL
24	5	21401217	21422848	CC
24	5	21422848	21428353	CL
24	5	21428353	21448672	CC
24	5	21448672	21451823	CL
24	5	21451823	21468403	CC
24	5	21468403	21471222	CL
24	5	21471222	21478952	CC
24	5	21478952	21853733	CL
24	5	21853733	21855957	LL
24	5	21855957	21921984	CL
24	5	21921984	21939841	LL
24	5	21939841	22038075	CL
24	5	22038075	22072893	LL
24	5	22072893	22073560	CL
24	5	22073560	22074153	LL
24	5	22074153	22823366	CL
24	5	22823366	22873971	LL
24	5	22873971	26975502	CL
